Compound Number,File,RT [min],Precursor m/z (Da),Priority/Bonus,Adduct,InChIKey,SMILES
1,A_M28_negPFP_04,1.67,517.2210,Priority,[M+Cl]-,ZUDBDCBPZHGAEL-DCYCNZAJSA-N,CC12CC(CC(C1CCC34C2CCC(C3)C(=C)C4O)C(=O)O)OC5C(C(C(C(O5)CO)O)O)O
2,A_M8_negPFP_03,3.70,959.4857,Priority,[M+FA-H]-,ZKCHQVRAXCCTLE-YXHZOQBQSA-N,CC1(C2CCC3(C(C2(CCC1OC4C(C(C(CO4)OC5C(C(C(C(O5)CO)O)O)O)O)OC6C(C(C(C(O6)CO)O)O)O)C)CC=C7C3(CCC8(C7CC(CC8)(C)O)C(=O)O)C)C)C
3,A_M3_posPFP_01,5.55,719.2546,Priority,[M+H]+,UYALDZZEAZIEME-MYTBKXFISA-N,CC1C(C(C(C(O1)OC2=C(OC3=C(C(=CC(=C3C2=O)O)O)CC=C(C)C)C4=CC=C(C=C4)OC)O)OC5C(C(C(C(O5)CO)O)O)O)OC(=O)C
4,A_M6_posPFP_02,5.74,467.2728,Priority,[M+Na]+,IFQVIMQHTPDZQU-UHFFFAOYSA-N,CC(C)CC(C(=O)O)NC(=O)C(C(C)C)OC(=O)C(C(C)C)NC(=O)C(CC(C)C)O
5,A_M23_posPFP_02,5.55,499.2302,Priority,[M+Na]+,XPXRFYSHQGUVFK-UTXMSIPTSA-N,CC1CC2(C(C1O)C=C(C(CC3C(C3(C)C)C=C(C2=O)C)OC(=O)CCC(=O)O)C)OC(=O)C
6,A_M26_posPFP_01,5.23,1102.5793,Priority,[M+NH4]+,XPCKJVBBSBPFQL-DCULSWDLSA-N,CC1C(C(C(C(O1)OC2C(OC(C(C2O)O)OCC3C(C(C(C(O3)OC(=O)C45CCC(=C)CC4C6=CCC7C8(CCC(C(C8CCC7(C6(CC5)C)C)(C)C)OC9C(C(C(CO9)O)O)O)C)O)O)O)COC(=O)C)O)O)O
7,A_M24_negPFP_03,1.99,577.1563,Priority,[M-H]-,LYKXPTCUGPKDQL-ZRXCBZTOSA-N,CC1C(C(C(C(O1)OC2C(C(C(OC2OC3=CC(=CC4=C3C(=O)C=C(O4)C5=CC=C(C=C5)O)O)CO)O)O)O)O)O
8,A_M6_negPFP_03,6.29,371.2439,Priority,[M-H]-,RZCUHAHZISRSJD-UHFFFAOYSA-N,CCCCCCCCCC(=O)OC(C(C(C)C)OC(=O)C(C)C)C(=O)O
9,E_M28_posPFP_01,3.41,336.1740,Priority,[M+H]+,WKEMJKQOLOHJLZ-UHFFFAOYSA-N,CN(C)CCC1=CNC2=C1C=C(C=C2)CS(=O)(=O)N3CCCC3
10,E_M86_posPFP_01,2.25,472.2092,Priority,[M+H]+,YBSJFWOBGCMAKL-UHFFFAOYSA-N,CN1C2=C(C=C(C=C2)C(=O)N(CCC(=O)O)C3=CC=CC=N3)N=C1CNC4=CC=C(C=C4)C(=N)N
11,E_M35_posPFP_01,6.02,657.3130,Priority,[M+H]+,MJNIWUJSIGSWKK-BBANNHEPSA-N,CCCC(=O)OCC(C(C(CN1C2=C(C=C(C(=C2)C)C)N=C3C1=NC(=O)NC3=O)OC(=O)CCC)OC(=O)CCC)OC(=O)CCC
12,E_M44_negPFP_03,4.97,185.0608,Priority,[M-H]-,SIVYRLBDAPKADZ-UHFFFAOYSA-N,CC1=CC=C(C2=CC=CC=C12)C(=O)O
13,A_M24_negPFP_03,5.51,723.3961,Priority,[M+FA-H]-,FTUCJLKRCLNNPB-OQDXJULVSA-N,CC1CC(OC2(C1C3(CCC45CC46CCC(C(C6CC=C5C3(C2O)C)(C)C)OC7C(C(C(CO7)O)O)O)C)O)C(C(C)(C)O)OC(=O)C
14,A_M6_negPFP_03,5.46,679.4063,Priority,[M+FA-H]-,WNRDHIDWADTLIO-YYCILOOSSA-N,CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CC(C(C5(C)C)O)O)C)C)C2C1)C)C(=O)OC6C(C(C(C(O6)CO)O)O)O)C
15,A_M23_posPFP_01,4.82,519.3316,Priority,[M+H]+,FYGSMJAMPMZYFS-XOTGQYDDSA-N,CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CC(C(C5(C)C(=O)O)O)O)C)C)C2C1(C)O)C)C(=O)O
16,A_M27_posPFP_01,4.02,233.1172,Priority,[M+H]+,QMMMQWRPZIJGPT-AWEZNQCLSA-N,CCC1(C(=O)C=CC2=C1OC(=C(C2=O)C)C)C
17,A_M6_posPFP_02,2.11,555.2776,Priority,[M+Na]+,SFLNQLHULUYBES-UHFFFAOYSA-N,CC1(CCC2C3(CCCC(C3CC(C2(C1)O)O)(C)C(=O)O)C)C(COC4C(C(C(C(O4)CO)O)O)O)O
18,A_M3_posPFP_01,5.63,918.5268,Priority,[M+NH4]+,BQIUFGZODBARSL-UHFFFAOYSA-N,CCCCCC(CC(CC(=O)OC(CCCCC)CC(CC(=O)OC(CCCCC)CC(CC(=O)O)OC1C(C(C(C(O1)CO)O)O)O)OC2C(C(C(C(O2)CO)O)O)O)O)O
19,A_M9_negPFP_03,2.11,195.0663,Priority,[M-H]-,CGWRDLSMEFSEDN-UHFFFAOYSA-N,COC1=CC(=C(C=C1)CCC(=O)O)O
20,A_M28_negPFP_03,4.75,529.1715,Priority,[M-H]-,SRPODRMTMBGGLK-MLIZCRTMSA-N,CC1C(C(C(C(O1)OC2=C(OC3=C(C(=CC(=C3C2=O)O)O)CC(C(=C)C)O)C4=CC=C(C=C4)OC)O)O)O
21,E_M28_posPFP_01,5.43,347.1278,Priority,[M+H]+,VCSUYXUJFRFUEL-UHFFFAOYSA-N,CC1=C(C=C(C=C1)C2(C3=CC=CC=C3C(=O)O2)C4=CC(=C(C=C4)C)O)O
22,E_M37_posPFP_01,6.17,454.0753,Priority,[M+H]+,YDBLKRPLXZNVNB-UHFFFAOYSA-N,CC1=C(C=CC(=C1)SCC2=C(N=C(S2)C3=CC=C(C=C3)C(F)(F)F)C)OCC(=O)O
23,E_M86_posPFP_01,5.62,489.2279,Priority,[M+H]+,MJEXYQIZUOHDGY-UHFFFAOYSA-N,CCCC1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)CC)OCC)C
24,E_M74_negPFP_03,0.56,181.0142,Priority,[M-H]-,MWRVRCAFWBBXTL-UHFFFAOYSA-N,C1=CC(=C(C=C1O)C(=O)O)C(=O)O
25,A_M24_negPFP_04,2.71,1111.5097,Priority,[M+Cl]-,FMERKDCSVVHBLX-KCTRNYBHSA-N,CC1(C2CCC3(C(C2(CCC1OC4C(C(C(CO4)OC5C(C(C(C(O5)CO)O)O)O)O)OC6C(C(C(C(O6)CO)O)O)O)C)CC=C7C3(CCC8(C7CC(CC8)(C)O)C(=O)OC9C(C(C(C(O9)CO)O)O)O)C)C)C
26,A_M4_posPFP_01,3.35,192.1383,Priority,[M+H]+,ZYRLCOGVOHEKBK-UHFFFAOYSA-N,CC(C)NC(=O)CCC1=CC=CC=C1
27,A_M27_posPFP_02,4.90,717.3820,Priority,[M+Na]+,CNWZWVFEXLYSBT-KCPUTACTSA-N,CC1CC(OC(=O)C1C2(CCC34CC35CCC(C(C5CCC4C2(C)C(=O)O)(C)C)OC6C(C(C(CO6)O)O)O)C)C(C(C)(C)O)OC(=O)C
28,A_M23_posPFP_02,5.92,545.2146,Priority,[M+Na]+,UDWINLZYCCTMBM-KVGJNFRLSA-N,CC1C(C(OC1C2=CC3=C(C=C2)OCO3)C4=CC(=C(C=C4)OC(C)C(C5=CC(=C(C=C5)OC)O)O)OC)C
29,A_M6_posPFP_01,5.74,1266.7052,Priority,[M+NH4]+,DXKIYFYDJGEVJY-UHFFFAOYSA-N,CCCCCC(CC(CC(=O)OC(CCCCC)CC(CC(=O)OC(CCCCC)CC(CC(=O)OC(CCCCC)CC(CC(=O)O)OC1C(C(C(C(O1)CO)O)O)O)OC2C(C(C(C(O2)CO)O)O)O)O)O)OC3C(C(C(C(O3)CO)O)O)O
30,A_M6_negPFP_03,2.55,725.2298,Priority,[M-H]-,BRDVWIOUHLWIGN-LJHYTBJKSA-N,CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=CC(=C4C(=O)CC(OC4=C3)C5=CC=C(C=C5)O)O)OC6C(C(C(C(O6)C)O)O)O)O)O)O)O)O
31,A_M28_negPFP_03,1.75,535.1821,Priority,[M-H]-,LIIDAMUJPFBXAR-FPOXNKGTSA-N,COC1=CC(=CC(=C1O)C2C(C(C(C(O2)CO)O)O)O)CC3COC(=O)C3(CC4=CC(=C(C=C4)O)OC)O
32,A_M9_negPFP_03,4.73,211.0976,Priority,[M-H]-,OIUPBOONLQPLQI-MRVPVSSYSA-N,CCCCCC1C(=C(C(=O)O1)C)C(=O)O
33,A_M3_negPFP_03,2.40,185.1183,Priority,[M-H]-,YVJQQTNULQIMBG-VIFPVBQESA-N,CC(CCCC(=CCO)C)C(=O)O
34,E_M86_posPFP_01,5.37,505.2228,Priority,[M+H]+,NEYKRKVLEWKOBI-UHFFFAOYSA-N,CCCC1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)CCO)OCC)C
35,E_M37_posPFP_01,7.52,522.5972,Priority,[M+H]+,SWZDQOUHBYYPJD-UHFFFAOYSA-N,CCCCCCCCCCCCN(CCCCCCCCCCCC)CCCCCCCCCCCC
36,E_M28_posPFP_01,2.70,425.0109,Priority,[M+NH4]+,OPIFSICVWOWJMJ-AEOCFKNESA-N,C1=CC(=C(C2=C1NC=C2OC3C(C(C(C(O3)CO)O)O)O)Cl)Br
37,E_M76_negPFP_03,3.91,223.9845,Priority,[M-H]-,ZZUQWNYNSKJLPI-UHFFFAOYSA-N,C1=CC=C2C(=C1)N=C(S2)SCC(=O)O
38,A_M3_negPFP_03,1.02,243.0874,Priority,[M+FA-H]-,KGBKYZFFQHZKLE-QMMMGPOBSA-N,CCCC(C1=C(OC(=O)C=C1)CO)O
39,A_M9_negPFP_03,4.87,301.1657,Priority,[M+FA-H]-,UKWNFIJQRGRIDQ-UHFFFAOYSA-N,CC=C(C)CC(C)C1C(C(C(C(=O)O1)(C)O)O)C
40,A_M6_negPFP_03,4.33,973.5014,Priority,[M+FA-H]-,WICIOAMNFCXLEV-MSGDGCCXSA-N,CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)OC6C(C(C(CO6)O)O)OC7C(C(C(C(O7)CO)O)O)O)C)C)C2C1(C)O)C)C(=O)OC8C(C(C(C(O8)CO)O)O)O
41,A_M24_posPFP_01,3.39,251.1642,Priority,[M+H]+,ODEUPBSFCFNAST-MXAVVETBSA-N,CC1=C(CC2(C13CCC(C3CC2)(C)O)C)C(=O)O
42,A_M4_posPFP_01,0.69,199.0965,Priority,[M+H]+,WYOIVALENVXRJQ-QMMMGPOBSA-N,CCCC1=C(C=CC(=O)O1)C(CO)O
43,A_M7_posPFP_02,4.47,217.0835,Priority,[M+Na]+,NRLCQITWKJENAT-UHFFFAOYSA-N,CC=C(C)C1=CC(=C(C(=O)O1)C)OC
44,A_M27_posPFP_02,3.92,805.4345,Priority,[M+Na]+,OQQOYQUBUVPAAU-SCPUYFPYSA-N,CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)CO)OC6C(C(C(CO6)O)O)O)C)C)C2C1(C)O)C)C(=O)OC7C(C(C(C(O7)CO)O)O)O
45,A_M28_negPFP_03,4.68,865.2772,Priority,[M-H]-,HAVCNTVVRPOVNT-SLNRQDROSA-N,CC1C(C(C(C(O1)OC2=C(OC3=C(C2=O)C(=CC(=C3CC=C(C)C)OC4C(C(C(C(O4)CO)O)O)O)O)C5=CC=C(C=C5)OC)OC(C(C(=O)OC)O)OC(C)C(=O)O)O)O
46,A_M25_negPFP_03,4.70,249.1496,Priority,[M-H]-,UFUCTYSVQPEEFA-AVGNSLFASA-N,CC1(C2C1C=C(CCC(C(=C)CC2)O)C(=O)O)C
47,A_M22_negPFP_03,5.77,358.1660,Priority,[M-H]-,WOPHEEXRJKUYKQ-UHFFFAOYSA-N,CC1C=CC2CCCCC2C1C3=CC(=C(C(=O)O3)C=O)NC(C)C(=O)O
48,E_M28_posPFP_01,5.53,419.0973,Priority,[M+H]+,JMZOMFYRADAWOG-UHFFFAOYSA-N,COC1=C2C(=C(C(=C1)C(=O)OC)C3=C4C(=C(C=C3C(=O)OC)OC)OCO4)OCO2
49,E_M41_posPFP_02,3.84,381.0070,Priority,[M+Na]+,FJDDSMSDZHURBJ-UHFFFAOYSA-N,CC(=O)NCCC1=C(NC2=C1C=C(C=C2)OC)I
50,E_M86_posPFP_01,6.08,600.4681,Priority,[M+NH4]+,ONJQDTZCDSESIW-UHFFFAOYSA-N,CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO
51,E_M17_negPFP_03,2.40,280.1415,Priority,[M-H]-,ZZQHGKMTMAORFI-UHFFFAOYSA-N,CN1C2=C(N=C1NCCCOC)N(C(=O)N(C2=O)C)C
52,A_M22_negPFP_03,2.02,567.2083,Priority,[M+FA-H]-,UFFRBCKYXMEITK-PEBYTCCLSA-N,COC1=CC(=CC(=C1OC2C(C(C(C(O2)CO)O)O)O)C(CC3=CC(=C(C=C3)O)OC)CO)C=CCO
53,A_M28_negPFP_03,3.55,1145.5233,Priority,[M+FA-H]-,XBQGYUHHNKDVKX-LJPKUSMYSA-N,CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OCC(=CCC(C(=CCCC(=CCCC(C)(C=C)OC3C(C(C(C(O3)CO)O)O)OC4C(C(C(C(O4)CO)O)O)O)C)C)O)C)O)O)OC5C(C(C(C(O5)C)O)O)O)O)O)O
54,A_M28_posPFP_01,5.85,235.0965,Priority,[M+H]+,CIGSWLXZMSXAAE-ZCFIWIBFSA-N,CC1C(=C)OC(=O)C2=C1C(=C(C=C2O)OC)C
55,A_M24_posPFP_01,6.26,305.2475,Priority,[M+H]+,NLVMTSRTOGOFQD-UHFFFAOYSA-N,CC1CCC2(C(C1(C)CCC(=CC(=O)O)C)CCC=C2C)C
56,A_M4_posPFP_01,3.88,251.0815,Priority,[M+H]+,TXEFUSAHPIYZHD-UHFFFAOYSA-N,COC1=CC2=NC=CC3=C2N(C1=O)C4=CC=CC=C34
57,A_M7_posPFP_01,2.50,256.1907,Priority,[M+H]+,ZRAPVLSWOKTYNU-UHFFFAOYSA-N,CCC(C(CC=CCC=CCCCC(=O)N)O)O
58,A_M25_negPFP_03,5.61,284.1656,Priority,[M-H]-,FVINVHIYNUTXPB-SFHVURJKSA-N,CC(=CCC1(C2=C(C=C(C=C2)O)NC1=O)C(C)(C)C=C)C
59,A_M7_negPFP_03,3.28,265.1445,Priority,[M-H]-,JJXLDNFRQCESGZ-UHFFFAOYSA-N,CC1CCC=C2C1(CC(C(C2O)O)C(=C)C(=O)O)C
60,A_M3_negPFP_03,5.06,263.1289,Priority,[M-H]-,OAHIHSADYZLDCR-UHFFFAOYSA-N,CC1(CC2C=C(C3(CC3(C2C1)C)C(=O)O)C(=O)O)C
61,A_M9_negPFP_03,5.25,305.1183,Priority,[M-H]-,YQOVRUAPWCGSLC-UHFFFAOYSA-N,C1=CC(=CC=C1CC2=CC(=C(C=C2)O)CC3=CC=C(C=C3)O)O
62,E_M33_negPFP_03,6.42,784.9837,Priority,[M+FA-H]- ,BSOLVVCARHZLMT-UHFFFAOYSA-N,C(C(C(C(C(F)F)(F)F)(F)F)(F)F)OP(=O)(OCC(C(C(C(F)F)(F)F)(F)F)(F)F)OCC(C(C(C(F)F)(F)F)(F)F)(F)F
63,E_M86_posPFP_01,1.46,287.1139,Priority,[M+H]+,BQYIXOPJPLGCRZ-REZTVBANSA-N,CC1=NC=C(C(=C1O)C=NNC(=O)C2=CC=NC=C2)CO
64,E_M34_posPFP_01,6.55,564.2493,Priority,[M+H]+,OSFCMRGOZNQUSW-UHFFFAOYSA-N,COC1=CC=CC2=C1NC3=C(C2=O)C=CC=C3C(=O)NC4=CC=C(C=C4)CCN5CCC6=CC(=C(C=C6C5)OC)OC
65,E_M41_posPFP_02,5.91,386.1839,Priority,[M+Na]+,FBMYKMYQHCBIGU-UHFFFAOYSA-N,CC(C)(CC1=CNC2=CC=CC=C21)NCC(COC3=CC=CC=C3C#N)O
66,A_M25_negPFP_04,2.63,363.1580,Priority,[M+Cl]-,QFIZHIXXEOCVCR-QGCDZIMUSA-N,CC1CC(C2C(C(C3(C2(C1C(OC3)O)O)C)O)(C)C)OC(=O)C
67,A_M7_negPFP_03,3.68,393.1919,Priority,[M+FA-H]-,IHDNCMDRDAONNT-UHFFFAOYSA-N,CC1=CC(C(C1=O)C=C(C)CCC=C2CCC(OC2=O)C(C)(C)O)O
68,A_M22_negPFP_03,5.47,811.4485,Priority,[M+FA-H]-,WBDDWIKJZNNKBQ-ZQUYRLKRSA-N,CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)OC6C(C(C(CO6)O)O)OC7C(C(C(C(O7)CO)O)O)O)C)C)C2C1(C)O)C)C(=O)O
69,A_M4_posPFP_01,3.18,442.1530,Priority,[M+H]+,AGBBJVFSJVBRRY-UHFFFAOYSA-N,CC(=O)NC(CSCC(=O)C12CC(CC1C=C(C2CC(=O)O)C(=O)O)(C)C)C(=O)O
70,A_M28_posPFP_02,2.31,313.1622,Priority,[M+Na]+,JCOCIXAHAFALHI-UHFFFAOYSA-N,C(CCCC(C(CCCC(=O)O)O)O)CCCC(=O)O
71,A_M24_posPFP_01,2.58,350.2173,Priority,[M+NH4]+,JPFNJNIYHKVTDX-ZMAWNPEZSA-N,CC(=CCC=C(C)C(CO)OC1C(C(C(C(O1)CO)O)O)O)C
72,A_M7_posPFP_01,3.24,652.2964,Priority,[M+NH4]+,MXZVBPOYCKIXHN-FFTVMPBDSA-N,CC1(C2CC(=O)C3(C(C2(C=CC(=O)O1)C)CCC(C34C(O4)C(=O)O)(C)C(C5=COC=C5)OC6C(C(C(C(O6)CO)O)O)O)C)C
73,A_M9_negPFP_03,5.88,405.2646,Priority,[M-H]-,FSQYXTHPPSJGNG-CSJFXCTJSA-N,CC(C)C(=O)OCC1CC23CCC4C(C2CCC1C3)(CCCC4(CO)C(=O)O)C
74,A_M29_negPFP_03,1.52,181.0870,Priority,[M-H]-,NCJFEURQKCATER-UHFFFAOYSA-N,CC1=C(C(CCC1=O)(C)C)C(=O)O
75,A_M3_negPFP_03,4.57,299.0561,Priority,[M-H]-,ZMFBGWWGXBNJAC-UHFFFAOYSA-N,COC1=C(C=CC(=C1)C2=COC3=CC(=CC(=C3C2=O)O)O)O
76,E_M35_negPFP_03,5.89,585.2406,Priority,[M+FA-H]- ,OUCSEDFVYPBLLF-KAYWLYCHSA-N,CC(C)C1=C(C(=C(N1CCC2CC(CC(=O)O2)O)C3=CC=C(C=C3)F)C4=CC=CC=C4)C(=O)NC5=CC=CC=C5
77,E_M86_posPFP_01,5.87,268.1696,Priority,[M+H]+,HIYAQBUTHPUUSV-UHFFFAOYSA-N,CC(C)(C)C1=CC=C(C=C1)C(=O)N(C)C2=CC=CC=C2
78,E_M41_posPFP_01,4.33,414.0215,Priority,[M+H]+,LVASCWIMLIKXLA-LSDHHAIUSA-N,C1CC(C(NC1)CC(=O)CN2C=NC3=CC(=C(C=C3C2=O)Cl)Br)O
79,E_M34_posPFP_01,0.63,628.7926,Priority,[M+H]+,GGGDNPWHMNJRFN-UHFFFAOYSA-N,CC(=O)NC1=C(C(=C(C(=C1I)C(=O)O)I)N(C)C(=O)C)I
80,A_M3_negPFP_04,3.72,435.1427,Priority,[M+Cl]-,XPIZBBYHXMPNEG-SQUCUVIGSA-N,CC1=C(C(=C(C(=C1O)C(=O)CC(C)C)OC2C(C(C(C(O2)CO)O)O)O)C)O
81,A_M24_posPFP_01,0.97,408.2592,Priority,[M+NH4]+,MRPDHXXPDCVBPQ-NTTCMOHZSA-N,CC1CC(CC(C1(C=CC(C)OC2C(C(C(C(O2)CO)O)O)O)O)(C)C)O
82,A_M4_posPFP_02,4.14,603.1684,Priority,[M+Na]+,MSTIUVOQDAVXIA-SATOHXPNSA-N,COC1=C(C=C(C=C1)C2=C(C(=O)C3=C(O2)C(=C(C(=C3OC)OC)OC)OC)OC4C(C(C(C(O4)CO)O)O)O)OC
83,A_M28_posPFP_02,0.41,336.1054,Priority,[M+Na]+,UTHVFIKQCUKKQW-BKZLMLJWSA-N,C1C(C=CC(=CC#N)C1OC2C(C(C(C(O2)CO)O)O)O)O
